"","DMA","GT.MVT","GT.Burglary","GT.Larceny","GT.Rape","UCR.Rape","UCR.Burglary","UCR.Larceny","UCR.MVT","DMA.INDEX","Percentage.of.Foreign.Born","Percentage.of.MoveIn","Percentage.of.Renter","Mobility.Index","Concentrated.Disadvantage.Index","Percentage.of.Unemployed","Percentage.of.Female.Headed.Family","Percentage.of.Poverty","Heterogeneity.Index","Percentage.of.Young.Males","Percentage.of.Dropped.Out","Percentage.of.Divorced","Population.logged","Less.than.High.School","Percentage.of.White","Percentage.of.Black","Percentage.of.Hispanic","Population","Drug.Mortality.Rate","Law.Enforce.per.Thousand","Internet.Usage.HH","Median.Vehicle.HH"
"27","Denver CO",68.2353063365288,45.8079308008963,54.4369392075814,49.7202280405405,73.0620327841281,34.4776907371345,59.5656109293745,45.5319709857298,1062,0.10771483872976,0.181584008662831,0.325615484055967,1.50700787322001,-3.29586408286805,0.0307477917279584,0.0626380137956378,0.0454447600309292,0.479514525151256,0.0578423664696369,0.0435616331779604,0.0942921196440354,15.2602261740933,0.0613578685888895,0.687411304787054,0.0386329111177872,0.21312849504533,4240646,161.435684180665,4.08404757199729,0.831279179354434,2.29284369114878
"28","Des Moines-Ames IA",44.5042219291048,80.27617112188,42.5264643613268,63.3108108108108,42.709236247028,40.5029886804107,45.607575919045,23.7286073618276,2520,0.0613090935092953,0.166447644369412,0.259020826448011,-0.297072071983218,-4.13892607061331,0.0255009099526232,0.0662606262966734,0.0466304810255053,0.260522068393867,0.0605303798605292,0.0307790360565526,0.0876597867214063,13.9524537487806,0.051632290194225,0.856660443352288,0.0331925602761861,0.0602984226034499,1146763,113.362282283068,3.21382883821679,0.820224485508318,2.29238095238095
"29","Detroit MI",64.7455937185173,31.3709551352196,49.369896158887,65.4244087837838,65.8121807148988,45.541907036702,46.0418850771955,54.906656872868,90,0.0934744674807474,0.133961033953755,0.277590945775113,-1.17135071583281,1.07971186267335,0.0460446140752053,0.0830557605380264,0.071733956468319,0.48871458345199,0.0636938294717363,0.0431832014026814,0.0910545454844956,15.3958412351851,0.0699251929580218,0.681880688631247,0.206747098744657,0.042539150384485,4856561.5,219.769911341205,3.23006308063843,0.815903348245518,2.12098765432099
"30","El Paso TX",57.6415358889939,67.7953207232557,59.001915515677,60.0158361486486,54.8819321189347,27.7281491474832,54.8403886327687,23.0078411162139,404,0.234357636682843,0.149927685316193,0.348325007269541,0.740719030995564,6.64718222790842,0.0354306257326056,0.124564586410256,0.141290334881634,0.350264243900603,0.07155941297324,0.0402298850574713,0.0808958359210997,13.8648876926899,0.13868523861942,0.159106105795978,0.0266395968462327,0.789672539884915,1050616.5,109.746194937925,8.0942951114893,0.807201175624748,2.04444444444444
"31","Eugene OR",56.2820020148936,68.2309415872023,58.2226030849884,56.3819679054054,49.8849878724331,44.0116644942943,71.9559144017013,34.7616403700874,484,0.0556784752367818,0.20397089781942,0.368615867403811,3.14518927131652,-0.900942223719739,0.04251854546795,0.063811774319326,0.0657151668365774,0.290245354877815,0.0521516909892706,0.0387197348463569,0.113644031192127,13.3438086875229,0.0604377507755159,0.838637399940219,0.00801279611244359,0.0744479232361471,623939.5,150.040401265935,2.19893114636916,0.800813501715384,2.16944444444444
"32","Flint-Saginaw-Bay City MI",45.3631482193118,26.5405658902611,50.179453573949,87.5411739864865,97.9769594389317,49.766079040363,40.311105601298,16.7899311313779,832,0.0217140335530768,0.139787837118254,0.244554118300091,-1.56594297681564,1.72555478531656,0.0466299684413794,0.0851790628859114,0.0838396203440094,0.328687261399782,0.0617973038357666,0.0459784217346962,0.101866675469145,13.9563076165956,0.0702854695702103,0.810844160525925,0.109441873676914,0.0417723905068751,1151191,193.459665595795,3.39213909768231,0.803433160225391,2.1034188034188
"33","Florence-Myrtle Beach SC",58.5575854512219,79.4976812047314,54.9390059481803,93.784839527027,70.2005257721994,100,100,48.7269547438111,880,0.0438673731684484,0.126571656141549,0.324193677688301,-0.583580363551655,5.18572764277733,0.0436398030484052,0.110893527884579,0.111983528873939,0.594411701887408,0.0570586820586821,0.0559187008477173,0.0898087376582,13.5585361421312,0.114950710380818,0.56340737120307,0.282548345720389,0.049579900386352,773388,169.04675594412,5.19661541166918,0.802969556015604,1.98055555555556
"34","Fresno-Visalia CA",86.2145965539088,79.5351987911,77.7860671438653,71.6078969594595,38.3366588765712,65.3704154675248,61.2632677287639,76.3500389480776,342,0.219043733511169,0.145797668096009,0.454056134453949,2.54832696869933,9.84100022157868,0.0511631443284881,0.121083603562081,0.148370397195108,0.588615886466201,0.0734254579354356,0.0460943221985161,0.0704249813774662,14.5148122605401,0.165329836255874,0.312195411626325,0.0363190344408792,0.554863301408753,2012347,116.136709262037,5.77335817331703,0.821295811520718,2.21296296296296
"35","Ft. Myers-Naples FL",50.6527632084584,67.5170652910218,46.1982054642605,52.5232263513513,32.4559182264834,37.0354724098121,39.9958052930478,15.5260373747794,420,0.178406011054664,0.160037326043681,0.303453233169502,0.287149490307105,-0.73741312510945,0.034708780691504,0.0608925626483247,0.0648938095812719,0.487873780281669,0.0486287310255131,0.0617478496590408,0.108092042839214,14.0827295575737,0.100474498526976,0.677754374576341,0.076590729806063,0.216130500299887,1306326.5,161.455136733853,3.53051094041191,0.798199787874462,1.80185185185185
"36","Ft. Smith-Fayetteville-Springdale-Rogers AR",42.4706334451565,53.7668698869262,49.5513660651275,65.5648226351351,81.9332379351099,47.9624952468679,59.2122405212054,23.0082390642266,1188,0.0872071044493916,0.1641794665037,0.334013480279781,1.00983049811393,-0.43046034443867,0.0261340893238622,0.0762136251361521,0.0845348604431582,0.423060954598178,0.0642588005473517,0.0430008390912952,0.0958090208901149,13.6472818291312,0.100750094212874,0.74694333206533,0.0272906743748673,0.129978270399528,845160.5,151.928268622876,3.65670189271742,0.817403809669683,2.17676767676768
